census_year,clue_small_area,anzsic_industry,business_size,total_establishments,total_jobs,jobs_suppressed
2010,Melbourne (CBD),Financial and Insurance Services,Small business,507,3430,FALSE
2010,Melbourne (CBD),Health Care and Social Assistance,Medium business,33,1327,FALSE
2010,Melbourne (CBD),Health Care and Social Assistance,Small business,356,1770,FALSE
2010,Melbourne (CBD),Information Media and Telecommunications,Medium business,36,2455,FALSE
2010,Melbourne (CBD),Information Media and Telecommunications,Small business,137,895,FALSE
2010,Melbourne (CBD),Manufacturing,Medium business,5,419,FALSE
2010,Melbourne (CBD),Manufacturing,Small business,274,850,FALSE
2010,Melbourne (CBD),Mining,Medium business,6,570,FALSE
2010,Melbourne (CBD),Mining,Small business,40,285,FALSE
2010,Melbourne (CBD),Other Services,Medium business,34,1766,FALSE
2010,Melbourne (CBD),Other Services,Small business,667,2871,FALSE
2010,Melbourne (CBD),"Professional, Scientific and Technical Services",Medium business,295,14664,FALSE
2010,Melbourne (CBD),"Professional, Scientific and Technical Services",Small business,1371,7960,FALSE
2010,Melbourne (CBD),Public Administration and Safety,Medium business,85,6289,FALSE
2010,Melbourne (CBD),Public Administration and Safety,Small business,62,462,FALSE
2010,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Medium business,29,1496,FALSE
2010,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Small business,163,944,FALSE
2010,Melbourne (CBD),Retail Trade,Medium business,64,2727,FALSE
2010,Melbourne (CBD),Retail Trade,Small business,1515,7389,FALSE
2010,Melbourne (CBD),"Transport, Postal and Warehousing",Medium business,25,1485,FALSE
2010,Melbourne (CBD),"Transport, Postal and Warehousing",Small business,55,424,FALSE
2010,Melbourne (CBD),Wholesale Trade,Medium business,9,291,FALSE
2010,Melbourne (CBD),Wholesale Trade,Small business,109,502,FALSE
2011,Melbourne (CBD),Accommodation and Food Services,Medium business,219,8909,FALSE
2011,Melbourne (CBD),Accommodation and Food Services,Small business,1275,9519,FALSE
2011,Melbourne (CBD),Administrative and Support Services,Medium business,88,4028,FALSE
2011,Melbourne (CBD),Administrative and Support Services,Small business,421,2472,FALSE
2011,Melbourne (CBD),"Agriculture, Forestry and Fishing",Medium business,1,NA,TRUE
2011,Melbourne (CBD),"Agriculture, Forestry and Fishing",Small business,3,17,FALSE
2011,Melbourne (CBD),Arts and Recreation Services,Medium business,26,1616,FALSE
2011,Melbourne (CBD),Arts and Recreation Services,Small business,134,594,FALSE
2011,Melbourne (CBD),Construction,Medium business,16,756,FALSE
2011,Melbourne (CBD),Construction,Small business,57,359,FALSE
2011,Melbourne (CBD),Education and Training,Medium business,96,6124,FALSE
2011,Melbourne (CBD),Education and Training,Small business,192,1262,FALSE
2011,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Medium business,11,845,FALSE
2011,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Small business,10,100,FALSE
2011,Melbourne (CBD),Financial and Insurance Services,Medium business,153,9656,FALSE
2011,Melbourne (CBD),Financial and Insurance Services,Small business,513,3457,FALSE
2011,Melbourne (CBD),Health Care and Social Assistance,Medium business,38,1639,FALSE
2011,Melbourne (CBD),Health Care and Social Assistance,Small business,344,1704,FALSE
2011,Melbourne (CBD),Information Media and Telecommunications,Medium business,37,2261,FALSE
2011,Melbourne (CBD),Information Media and Telecommunications,Small business,130,860,FALSE
